Scenario,Distribution,Target_Skewness,Target_ExcessKurtosis,Achieved_Skewness,Achieved_ExcessKurtosis,Lambda,L,Method,Shift_Size,ARL1,SDRL1,MRL1
Skewness,Skew-Normal,1,NA,0.9861987,0.829219401,0.3,2.9286,WV,0.25,66.328,101.6947294,35
Skewness,Skew-Normal,1,NA,1.024575776,0.973473817,0.3,2.9286,WSD,0.25,48.6312,69.66881914,27
Skewness,Skew-Normal,1,NA,0.973220351,0.849685682,0.3,2.9286,SC,0.25,472.2423,568.1208323,228
Skewness,Skew-Normal,1,NA,0.965426631,0.735920141,0.1,2.6952,EWMA,0.5,31.5534,37.92865153,21
Skewness,Skew-Normal,1,NA,1.018177915,0.907555389,0.1,2.6952,WV,0.5,25.5748,26.66314868,18
Skewness,Skew-Normal,1,NA,0.99310584,0.787660363,0.1,2.6952,WSD,0.5,21.9081,24.66151807,15
Skewness,Skew-Normal,1,NA,0.963826688,0.776646489,0.1,2.6952,SC,0.5,122.7095,223.1834187,53
Skewness,Skew-Normal,1,NA,1.025186579,1.023598486,0.2,2.8537,EWMA,0.5,36.0457,49.23957621,21
Skewness,Skew-Normal,1,NA,1.010584542,0.908070566,0.2,2.8537,WV,0.5,27.2367,34.03556544,17
Skewness,Skew-Normal,1,NA,1.016175343,0.961439833,0.2,2.8537,WSD,0.5,21.6497,24.36471124,14
Skewness,Skew-Normal,1,NA,0.999976608,0.967448067,0.2,2.8537,SC,0.5,201.7672,340.9419434,80
Skewness,Skew-Normal,1,NA,0.983633557,0.764507857,0.3,2.9286,EWMA,0.5,39.4986,59.31345721,22
Skewness,Skew-Normal,1,NA,1.010826033,0.863360014,0.3,2.9286,WV,0.5,28.7927,38.06158687,17
Skewness,Skew-Normal,1,NA,0.963274841,0.792356777,0.3,2.9286,WSD,0.5,22.6527,27.24122411,14
Skewness,Skew-Normal,1,NA,1.039443922,1.165476051,0.3,2.9286,SC,0.5,271.9595,413.2823605,113
