"Scenario","Distribution","Target_Skewness","Target_ExcessKurtosis","Achieved_Skewness","Achieved_ExcessKurtosis","Lambda","L","Method","Shift_Size","ARL1","SDRL1","MRL1"
"Kurtosis","Skew-Student-t",0.5,6,0.51656323521179,6.28332713810724,0.2,2.8537,"WV",0.5,32.9585,42.7536310159325,20
"Kurtosis","Skew-Student-t",0.5,6,0.466734830934933,5.37488837398467,0.2,2.8537,"WSD",0.5,32.2082,44.8884879495293,19
"Kurtosis","Skew-Student-t",0.5,6,0.288118869272996,4.74549155807296,0.2,2.8537,"SC",0.5,56.5379,83.0913616510652,31
"Kurtosis","Skew-Student-t",0.5,6,0.422035961232723,4.38714678464418,0.3,2.9286,"EWMA",0.5,40.9336,52.6684059673227,24
"Kurtosis","Skew-Student-t",0.5,6,0.330909634651309,4.65771641643673,0.3,2.9286,"WV",0.5,38.9681,51.6084201007213,23
"Kurtosis","Skew-Student-t",0.5,6,0.439382468074184,4.49345845173835,0.3,2.9286,"WSD",0.5,35.4816,47.0140882490492,21
"Kurtosis","Skew-Student-t",0.5,6,0.409582315074045,5.44101566790935,0.3,2.9286,"SC",0.5,77.5301,105.681757921534,43
"Kurtosis","Skew-Student-t",0.5,6,0.514676502745099,5.37029203942951,0.1,2.6952,"EWMA",0.75,13.7811,9.96032648061097,11
"Kurtosis","Skew-Student-t",0.5,6,0.690334578180777,7.0589778243793,0.1,2.6952,"WV",0.75,13.1086,9.32451074802689,11
"Kurtosis","Skew-Student-t",0.5,6,0.584241047269404,7.16628131118522,0.1,2.6952,"WSD",0.75,12.9581,9.2508325128184,11
"Kurtosis","Skew-Student-t",0.5,6,0.434851060973519,4.54609024417377,0.1,2.6952,"SC",0.75,20.889,27.5090594865652,16
"Kurtosis","Skew-Student-t",0.5,6,0.837939835015154,11.4554286108971,0.2,2.8537,"EWMA",0.75,15.7587,17.3552814696129,11
"Kurtosis","Skew-Student-t",0.5,6,0.204145834505913,6.96379025412528,0.2,2.8537,"WV",0.75,15.2724,14.9982763366097,11
"Kurtosis","Skew-Student-t",0.5,6,0.934018012236156,12.8911218943702,0.2,2.8537,"WSD",0.75,14.3456,13.9232951004655,10
"Kurtosis","Skew-Student-t",0.5,6,0.421104128777975,3.8965672992884,0.2,2.8537,"SC",0.75,28.717,41.9814763370173,18
"Kurtosis","Skew-Student-t",0.5,6,1.05743335954161,19.5075539701319,0.3,2.9286,"EWMA",0.75,19.204,22.1479488252009,12
"Kurtosis","Skew-Student-t",0.5,6,0.268900584887004,6.99225949876685,0.3,2.9286,"WV",0.75,18.0141,21.1873450802396,12
"Kurtosis","Skew-Student-t",0.5,6,0.53947435802628,6.13289416521514,0.3,2.9286,"WSD",0.75,17.1338,19.45968050808,11
"Kurtosis","Skew-Student-t",0.5,6,0.355225748925888,4.67826602677171,0.3,2.9286,"SC",0.75,34.784,50.8705939195973,20
"Kurtosis","Skew-Student-t",0.5,6,0.646996500104841,11.9543038017911,0.1,2.6952,"EWMA",1,8.7953,4.5795955257553,8
"Kurtosis","Skew-Student-t",0.5,6,0.382340154071013,5.3312315905306,0.1,2.6952,"WV",1,8.7562,4.63304522650136,8
"Kurtosis","Skew-Student-t",0.5,6,0.315106362139941,4.26687169568349,0.1,2.6952,"WSD",1,8.5853,4.40956554966968,8
"Kurtosis","Skew-Student-t",0.5,6,0.480676834589073,4.92607794848421,0.1,2.6952,"SC",1,12.1725,7.05609825627876,11
"Kurtosis","Skew-Student-t",0.5,6,0.400526592784173,4.93468583366104,0.2,2.8537,"EWMA",1,9.0561,6.65126880584996,7
"Kurtosis","Skew-Student-t",0.5,6,1.00434382237896,12.193717784983,0.2,2.8537,"WV",1,8.6245,6.14161800319506,7
"Kurtosis","Skew-Student-t",0.5,6,0.632087552044736,6.95625972097743,0.2,2.8537,"WSD",1,8.3689,5.86733801272226,7
"Kurtosis","Skew-Student-t",0.5,6,0.552943365048597,8.26653292970053,0.2,2.8537,"SC",1,15.4674,15.002814592088,11
"Kurtosis","Skew-Student-t",0.5,6,0.378506050132223,5.83372068969149,0.3,2.9286,"EWMA",1,10.2863,9.84703146703976,8
"Kurtosis","Skew-Student-t",0.5,6,0.343093394923231,4.14579848392632,0.3,2.9286,"WV",1,10.0024,9.53993161765465,7
"Kurtosis","Skew-Student-t",0.5,6,0.144808095180536,3.57641551756403,0.3,2.9286,"WSD",1,9.8413,9.6736586810383,7
"Kurtosis","Skew-Student-t",0.5,6,-0.0543929327565454,5.86557890409428,0.3,2.9286,"SC",1,9.7416,10.2491821143641,7
"Kurtosis","Skew-Student-t",0.5,6,0.698499104821,5.55281009011082,0.1,2.6952,"EWMA",1.5,5.2394,2.02170630152774,5
"Kurtosis","Skew-Student-t",0.5,6,0.500777675151106,5.49792505007089,0.1,2.6952,"WV",1.5,5.0881,1.93295422118635,5
"Kurtosis","Skew-Student-t",0.5,6,0.500846736616325,6.04905237375813,0.1,2.6952,"WSD",1.5,5.0409,1.89873318525033,5
"Kurtosis","Skew-Student-t",0.5,6,0.432899815921988,6.76426739052029,0.1,2.6952,"SC",1.5,6.4754,2.43474590846024,6
"Kurtosis","Skew-Student-t",0.5,6,0.369352281354998,5.4451015375691,0.2,2.8537,"EWMA",1.5,4.7097,2.23470922102413,4
